Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1609,13:13:52.9300,Trigger,0,0,0,0,0,0,0,0,0,0
1610,13:13:52.9410,H,-1.469033,1.018927,-1.186831,-0.9998505,0.009640384,-0.006242382,-0.01293149,358.8861,0.7010818,1.475163
1610,13:13:52.9410,T,-1.480592,0.8168671,-1.375604,0.07979608,-0.9960286,-0.01337492,0.03715893,350.9113,184.4234,178.1096
1611,13:13:52.9520,H,-1.469059,1.018884,-1.186759,-0.9998547,0.009241697,-0.006292908,-0.01286637,358.9318,0.7075245,1.467914
1611,13:13:52.9520,T,-1.480798,0.8169183,-1.375753,0.07980897,-0.9960297,-0.0133314,0.037116,350.9095,184.418,178.1149
1612,13:13:52.9630,H,-1.46905,1.018831,-1.1867,-0.9998571,0.009035286,-0.006330605,-0.01280677,358.9554,0.7122073,1.461185
1612,13:13:52.9630,T,-1.480903,0.81695,-1.375799,0.07979142,-0.9960293,-0.01337937,0.0371469,350.9118,184.422,178.1092
1613,13:13:52.9739,H,-1.469073,1.01882,-1.186653,-0.9998599,0.008796663,-0.00640821,-0.01271783,358.9827,0.7215368,1.451076
1613,13:13:52.9739,T,-1.480931,0.8170584,-1.375852,0.07984939,-0.9960243,-0.01340274,0.0371481,350.9052,184.4225,178.1062
1614,13:13:52.9859,H,-1.469098,1.018796,-1.186624,-0.9998604,0.008701047,-0.006467761,-0.01271436,358.9936,0.7285023,1.450684
1614,13:13:52.9859,T,-1.481028,0.8171151,-1.375888,0.0799227,-0.9960178,-0.01346375,0.0371437,350.8971,184.4227,178.0988
1615,13:13:52.9969,H,-1.469094,1.018792,-1.18656,-0.9998621,0.008510958,-0.00651275,-0.01268896,359.0153,0.7339564,1.447863
1615,13:13:52.9969,T,-1.481214,0.8172015,-1.375948,0.08003913,-0.9960099,-0.01347094,0.03710255,350.8836,184.4184,178.0978
1616,13:13:53.0078,H,-1.469105,1.018786,-1.186509,-0.9998615,0.008455645,-0.006546853,-0.01275253,359.0216,0.7378815,1.455155
1616,13:13:53.0078,T,-1.481028,0.8172385,-1.375858,0.08011905,-0.9960032,-0.01346597,0.03711078,350.8745,184.4195,178.0979
1617,13:13:53.0188,H,-1.4691,1.018773,-1.186385,-0.9998619,0.008392131,-0.006517014,-0.0127766,359.0289,0.7345305,1.457987
1617,13:13:53.0188,T,-1.481104,0.8173032,-1.375867,0.08010045,-0.9960062,-0.01345877,0.03707402,350.8765,184.4151,178.0992
1618,13:13:53.0298,H,-1.469205,1.018766,-1.186357,-0.9998593,0.008417753,-0.006668254,-0.01288494,359.0256,0.7517195,1.47024
1618,13:13:53.0298,T,-1.48036,0.8170147,-1.37557,0.08009366,-0.9960073,-0.01336544,0.03709331,350.8769,184.4165,178.1099
1619,13:13:53.0417,H,-1.469218,1.018791,-1.186321,-0.9998598,0.00848387,-0.006587707,-0.01285191,359.0182,0.7424251,1.466484
